"NAME","DATE_INPUT","DATE_ARCHIVE","TASK","DESCRIPTION","VERSION","VERSION_DATE","STATUS","WIN","MAC","LIN","TYPE","OPEN_SOURCE","URL","URL_CHECK","SOURCE_CODE_URL","DOI","CITATION"
"14","ArchaeoChron","31.12.18","","Chronological modelling","Provides a list of functions for the Bayesian modeling of archaeological chronologies. The Bayesian models are implemented in 'JAGS' ('JAGS' stands for Just Another Gibbs Sampler. It is a program for the analysis of Bayesian hierarchical models using Markov Chain Monte Carlo (MCMC) simulation. See <http://mcmc-jags.sourceforge.net/> and \"JAGS Version 4.3.0 user manual\", Martin Plummer (2017) <https://sourceforge.net/projects/mcmc-jags/files/Manuals/>.). The inputs are measurements with their associated standard deviations and the study period. The output is the MCMC sample of the posterior distribution of the event date with or without radiocarbon calibration. ","0.1","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=ArchaeoChron",TRUE,"","",""
"15","RChronoModel","31.12.18","","Chronological modelling","Provides a list of functions for the statistical analysis and the post-processing of the Markov Chains simulated by ChronoModel (see <http://www.chronomodel.fr> for more information).  ChronoModel is a friendly software to construct a chronological model in a Bayesian framework.  Its output is  a sampled Markov chain from the posterior distribution of dates component  the chronology. The functions can also be applied  to the  analyse of mcmc output generated by Oxcal software.","0.4","","stable",TRUE,TRUE,FALSE,"r_package",TRUE,"https://CRAN.R-project.org/package=RChronoModel",TRUE,"","","Philippe, A., Vibet, M.-A., 2017. Analysis of Archaeological Phases using the CRAN Package RChronoModel. doi: https://doi.org/10.13140/RG.2.2.19659.59688"
"16","ChronoModel","31.12.18","","Chronological modelling","Chronological Modelling of Archaeological Data using Bayesian Statistics with an advanced graphical user interface","2.0.18","01.02.19","stable",TRUE,TRUE,TRUE,"application",TRUE,"https://chronomodel.com",TRUE,"https://github.com/Chronomodel/chronomodel","",""
"17","ESR","31.12.18","","ESR data analysis","R package ESR for plotting and analysing ESR spectra in dating applications","","Fri, 18 Jan 2019 12:31:54 GMT","devel",TRUE,TRUE,TRUE,"r_package",TRUE,"https://github.com/tzerk/ESR",TRUE,"https://github.com/tzerk/ESR","",""
"18","gammaSpec","31.12.18","","Gamma-ray spectrometry","A collection of functions to analyse gamma-ray spectra","","Fri, 18 Jan 2019 15:13:50 GMT","devel",TRUE,TRUE,TRUE,"r_scripts",TRUE,"https://github.com/tzerk/gammaSpec",TRUE,"https://github.com/tzerk/gammaSpec","",""
"19","DosiVox","31.12.18","","Dose rate modelling","A Geant 4-based software for dosimetry simulations relevant to luminescence and ESR dating techniques","","03.12.18","stable",TRUE,TRUE,TRUE,"application",TRUE,"http://www.iramat-crp2a.cnrs.fr/spip/spip.php?article144&lang=fr",TRUE,"","","Martin, L., Incerti, S., Mercier, N., 2015. DosiVox: Implementing Geant 4-based software for dosimetry simulations relevant to luminescence and ESR dating techniques. Ancient TL 33, 1–10. http://ancienttl.org/ATL_33-1_2015/ATL_33-1_Martin_p1-10.pdf"
"20","DosiVox2D","31.12.18","","Dose rate modelling","A Geant 4-based software for dosimetry simulations relevant to luminescence and ESR dating techniques; simplified version in comparison to DosiVox","","03.12.18","devel",TRUE,TRUE,TRUE,"application",TRUE,"http://www.iramat-crp2a.cnrs.fr/spip/spip.php?article144&lang=fr",TRUE,"","",""
"21","Viewer","31.12.18","","Luminescence data visualisation","Proprietary software to visualise luminescence data recorded in BIN/BINX-files","4.58","","ancient",TRUE,FALSE,FALSE,"application",FALSE,"https://www.fysik.dtu.dk/english/research/radphys/research/radiation-instruments/tl_osl_reader/software",TRUE,"",""," "
"22","Viewer+","31.12.18","","Luminescence data visualisation","Proprietary software to visualise luminescence data recorded in BIN/BINX-files; sucessor of Viewer","1.43","","stable",TRUE,FALSE,FALSE,"application",FALSE,"https://www.fysik.dtu.dk/english/research/radphys/research/radiation-instruments/tl_osl_reader/software",TRUE,"",""," "
"23","PTanalyse","31.12.18","","Luminescence data analysis","Proprietary software to analyse TR-OSL data ","1.51","","stable",TRUE,FALSE,FALSE,"application",FALSE,"https://www.fysik.dtu.dk/english/research/radphys/research/radiation-instruments/tl_osl_reader/software",TRUE,"","","Lapp, T., Jain, M., Ankjærgaard, C., Pirtzel, L., 2009. Development of pulsed stimulation and Photon Timer attachments to the Risø TL/OSL reader. Radiation Measurements 44, 571–575. doi: https://doi.org/10.1016/j.radmeas.2009.01.012"
"24","RLanalyse","31.12.18","","Luminescence data analysis","Proprietary software to analyse radiofluorescence data (BIN/BINX-file input required)","1.3","","stable",TRUE,FALSE,FALSE,"application",FALSE,"https://www.fysik.dtu.dk/english/research/radphys/research/radiation-instruments/tl_osl_reader/software",TRUE,"","","Lapp, T., Jain, M., Thomsen, K.J., Murray, A.S., Buylaert, J.P., 2012. New luminescence measurement facilities in retrospective dosimetry. Radiation Measurements 47, 803–808. doi: https://doi.org/10.1016/j.radmeas.2012.02.006"
"25","XRFanalyse","31.12.18","","Miscellaneous","Proprietary software to analyse XRF data recorded with a Risø OSL/TL attachement","1.12","","stable",TRUE,FALSE,FALSE,"application",FALSE,"https://www.fysik.dtu.dk/english/research/radphys/research/radiation-instruments/tl_osl_reader/software",TRUE,"",""," "
"26","RadialPlotter","31.12.18","","Visualisation","Java software to create radial plots","9.5","","stable",TRUE,TRUE,TRUE,"application",FALSE,"https://www.ucl.ac.uk/~ucfbpve/radialplotter/",TRUE,"","","Vermeesch, P., 2009, RadialPlotter: a Java application for fission track, luminescence and other radial plots, Radiation Measurements, 44 (4), 409-410. doi: https://doi.org/10.1016/j.radmeas.2009.05.003"
"27","DensityPlotter","31.12.18","","Visualisation","Java application for Kernel Density Estimation plots ","8.5","","stable",TRUE,TRUE,TRUE,"application",FALSE,"https://www.ucl.ac.uk/~ucfbpve/densityplotter/",TRUE,"","","Vermeesch, P., 2012. On the visualisation of detrital age distributions. Chemical Geology, 312-313, 190-194, doi: https://doi.org/10.1016/j.chemgeo.2012.04.021"
"28","MCDoseE","31.12.18","","ESR data analysis","Dose response curve fitting, dose evaluation for ESR dating ","","","stable",TRUE,TRUE,FALSE,"application",FALSE,"https://www.sciencedirect.com/science/article/pii/S1871101417300626?via%3Dihub",FALSE,"","","Joannes-Boyau, R., Duval, M., Bodin, T., 2017. MCDoseE 2.0 A new Markov Chain Monte Carlo program for ESR dose response curve fitting and dose evaluation. Quaternary Geochronology 44, 1–25. doi: https://doi.org/10.1016/j.quageo.2017.11.003"
"29","OCTOPUS","31.12.18","","Data mining","Open cosmogenic nuclide and luminescence data database","","","stable",TRUE,TRUE,TRUE,"repository",FALSE,"https://earth.uow.edu.au",TRUE,"","","Codilean, A.T., Munack, H., Cohen, T.J., Saktura, W.M., Gray, A., Mudd, S.M., 2018. OCTOPUS: an open cosmogenic isotope and luminescence database. Earth Syst. Sci. Data 10, 2123–2139. doi: https://doi.org/10.5194/essd-10-2123-2018"
"30","INQUA Dunes Atlas","31.12.18","","Data mining","Collection of luminescence ages from sand dunes world wide","","","unknown",TRUE,TRUE,TRUE,"repository",FALSE,"http://www.dri.edu/inquadunesatlas",FALSE,"","","Lancaster, N., Wolfe, S., Thomas, D., Bristow, C., Bubenzer, O., Burrough, S., Duller, G., Halfen, A., Hesse, P., Roskin, J., Singhvi, A., Tsoar, H., Tripaldi, A., Yang, X., Zárate, M., 2015. The INQUA Dunes Atlas chronologic database. Quaternary International 410, 3–10. doi: https://doi.org/10.1016/j.quaint.2015.10.044"
"31","AGE","31.12.18","","Age calculation","Program for the calculation of luminescence ages estimates","","14.11.09","ancient",TRUE,FALSE,FALSE,"application",FALSE,"http://ancienttl.org/ATL_27-2_2009/ATL_27-2_Grun_supplement.zip",TRUE,"","","http://ancienttl.org/ATL_27-2_2009/ATL_27-2_Grun_p45-46.pdf"
"32","rxylib","31.12.18","","Gamma-ray spectrometry","Provides access to the 'xylib' C library for to import xy 
  data from powder diffraction, spectroscopy and other experimental methods.","0.2.12","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=rxylib",TRUE,"https://github.com/R-Lum/rxylib","",""
"33","DRc","31.12.18","","Age calculation","Dose Rate Calculator  for luminescence and ESR Dating (Java application)","","","stable",TRUE,FALSE,FALSE,"application",FALSE,"https://www.dropbox.com/s/nvn6n68lt4to8ur/DRcalculator.exe?dl=0",TRUE,"","","Tsakalos, E., Christodoulakis, J., Charalambous, L., 2015. The Dose Rate Calculator (DRc) for Luminescence and ESR Dating-a Java Application for Dose Rate and Age Determination. Archaeometry 58, 347–352. doi: https://doi.org/10.1111/arcm.12162"
"34","gamma","28.04.19","","Dosimetry",""," "," ","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=gamma",TRUE,"https://github.com/crp2a/gamma","10.5281/zenodo.2652393"," "
"35","LDAC","28.07.19","","Luminescence data analysis","A Microsoft Excel Visual Basic for Application (VBA)-based package which can be used to assemble OSL age information and associated calculations. This platform applies statistical models to determine equivalent dose (De) values and render corresponding OSL age estimates. This software is fully applicable for De measurements by single grain and aliquot regeneration (SAR) and thermal transfer OSL (TT-OSL) protocols. It could also be used to calculate the dose rate and final buried age for geology/archaeology samples.","v1.2.1","Sun, 02 Apr 2023 03:59:11 GMT","stable",TRUE,FALSE,FALSE,"application",TRUE,"https://github.com/lesshsroc/LDAC/releases",TRUE,"https://github.com/Peng-Liang/LDAC","","Liang, P., Forman, S.L., 2019. LDAC: An Excel-based program for luminescence equivalent dose and burial age calculations. Ancient TL 37, 21–40."
"36","mcmcSAM","09.02.19","","Chronological modelling","Analyzing statistical age models for equivalent dose and burial age determination using a Markov Chain Monte Carlo method","","Mon, 07 Jan 2019 14:17:22 GMT","unknown",TRUE,TRUE,TRUE,"r_scripts",TRUE,"https://github.com/pengjunUCAS/mcmcSAM",TRUE,"https://github.com/pengjunUCAS/mcmcSAM","10.1515/geochr-2015-0114","Peng, J., 2020. Analyzing statistical age models to determine the equivalent dose and burial age using a Markov chain Monte Carlo method. Geochronometria 0, 1–14. "
"37","RLumCarlo","18.06.20","","Modelling","A collection of functions to simulate luminescence production in 
    dosimetric materials using Monte Carlo methods. Implemented are models for 
    delocalised transitions (e.g., Chen and McKeever (1997) <doi:10.1142/2781>), 
    localised transitions (e.g., Pagonis et al. (2019) <doi:10.1016/j.jlumin.2018.11.024>) 
    and tunnelling transitions (Jain et al. (2012) <doi:10.1088/0953-8984/24/38/385402> 
    and Pagonis et al. (2019) <doi:10.1016/j.jlumin.2018.11.024>). 
    Supported stimulation methods are thermal luminescence (TL), 
    continuous-wave optically stimulated luminescence (CW-OSL), 
    linearly-modulated optically stimulated luminescence (LM-OSL), 
    linearly-modulated infrared stimulated luminescence (LM-IRSL),
    and isothermal luminescence (ITL or ISO-TL).","0.1.9","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=RLumCarlo",TRUE,"https://github.com/R-Lum/RLumCarlo","",""
"38","eM-Age","12.07.20","","Age calculation","Application for luminescence age calculation based on Dose Rate and Age Calculator (DRAC) and Analyst","version.1.1","Mon, 14 Dec 2020 10:33:38 GMT","stable",TRUE,FALSE,FALSE,"application",TRUE,"https://github.com/yomismovk/eM-Age-program",TRUE,"https://github.com/yomismovk/eM-Age-program","","Pérez-Garrido, C., 2020. eM-Age (excel Macro for Age calculation), a new application for luminescence age calculation based on Dose Rate and Age Calculator (DRAC) and Analyst. Ancient TL 38, 21–24."
"39","sandbox","03.12.21","","Modelling","A flexible framework for definition and application of time/depth-
    based rules for sets of parameters for single grains that can be used to 
    create artificial sediment profiles. Such profiles can be used for virtual 
    sample preparation and synthetic, for instance, luminescence measurements.","0.2.1","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=sandbox",TRUE,"https://github.com/coffeemuggler/sandbox","",""
"40","OxGamma","10.06.22","","Dosimetry","A MATLAB based application for the analysis of gamma-ray spectra","","","stable",TRUE,TRUE,FALSE,"application",FALSE,"https://drive.google.com/drive/folders/1caKSAQ45b1EHCM1pMybCzUQ19dIn4lOc?usp=sharing",TRUE,"","10.1016/j.radmeas.2022.106761","Kumar, R., Frouin, M., Gazack, J., Schwenninger, J.-L., 2022. OxGamma: A MATLAB based application for the analysis of gamma-ray spectra. Radiation Measurements 154, 106761. s://doi.org/10.1016/j.radmeas.2022.106761"
"41","xlum","09.01.23","","Data exchange","The R package xlum to interface <xlum/> a data format for exchange and long-term preservation of luminescence data.","v0.1.0","Fri, 25 Nov 2022 17:58:38 GMT","devel",TRUE,TRUE,TRUE,"r_package",TRUE,"https://github.com/R-Lum/xlum",TRUE,"https://github.com/R-Lum/xlum","10.5281/zenodo.7362364","Kreutzer, S., Burow, C., 2022. xlum: read, write, and convert XLUM Data (v0.1.0). Zenodo. https://doi.org/10.5281/zenodo.7362364"
"42","xlum","09.01.23","","Data exchange","Python package","0.0.7","","stable",TRUE,TRUE,TRUE,"python_package",TRUE,"https://pypi.org/project/xlum/",TRUE,"https://github.com/SteveGrehl/xlum-python","","Grehl, S., 2022. xlum-pytong: Python importer for the XLUM data exchange and archive format"
"43","μRate","19.02.24","","Dose rate calculation","Online dose rate calculator for trapped charge dating"," 2022.5.3","","stable",TRUE,TRUE,TRUE,"web_service",FALSE,"https://miu-rate.polsl.pl/miu-rate/",TRUE,"","10.1111/arcm.12828","Tudyka, K., Koruszowic, M., Osadnik, R., Adamiec, G., Moska, P., Szymak, A., Bluszcz, A., Zhang, J., Kolb, T., Poręba, G., 2022. μRate: An online dose rate calculator for trapped charge dating. Archaeometry, 65(2), 423-443."
