"NAME","TASK","DESCRIPTION","VERSION","STATUS","WIN","MAC","LIN","TYPE","URL","URL_CHECK","CITATION"
"14","ArchaeoChron","Chronological modelling","Provides a list of functions for the Bayesian modeling of archaeological chronologies. The Bayesian models are implemented in 'JAGS' ('JAGS' stands for Just Another Gibbs Sampler. It is a program for the analysis of Bayesian hierarchical models using Markov Chain Monte Carlo (MCMC) simulation. See <http://mcmc-jags.sourceforge.net/> and \"JAGS Version 4.3.0 user manual\", Martin Plummer (2017) <https://sourceforge.net/projects/mcmc-jags/files/Manuals/>.). The inputs are measurements with their associated standard deviations and the study period. The output is the MCMC sample of the posterior distribution of the event date with or without radiocarbon calibration. ","0.1","stable",TRUE,TRUE,TRUE,"r_package","https://CRAN.R-project.org/package=ArchaeoChron",TRUE,""
"15","RChronoModel","Chronological modelling","Provides a list of functions for the statistical analysis and the post-processing of the Markov Chains simulated by ChronoModel (see <http://www.chronomodel.fr> for more information).  ChronoModel is a friendly software to construct a chronological model in a Bayesian framework.  Its output is  a sampled Markov chain from the posterior distribution of dates component  the chronology. The functions can also be applied  to the  analyse of mcmc output generated by Oxcal software.","0.4","stable",TRUE,TRUE,TRUE,"r_package","https://CRAN.R-project.org/package=RChronoModel",TRUE,""
"16","ChronoModel","Chronological modelling","Chronological Modelling of Archaeological Data using Bayesian Statistics with an advanced graphical user interface","1.5","stable",TRUE,TRUE,TRUE,"application","https://chronomodel.com",TRUE,""
"17","ESR","ESR data analysis","R package ESR for plotting and analysing ESR spectra in dating applications","2018-12-06","devel",TRUE,TRUE,TRUE,"r_package","https://github.com/tzerk/ESR",TRUE,""
"18","gammaSpec","Gamma-ray spectrometry","A collection of functions to analyse gamma spectra","2017-07-17","devel",TRUE,TRUE,TRUE,"r_scripts","https://github.com/tzerk/gammaSpec",TRUE,""
"19","DosiVox","Dose rate modelling","A Geant 4-based software for dosimetry simulations relevant to luminescence and ESR dating techniques","2018-12-03","stable",FALSE,FALSE,TRUE,"application","http://www.iramat-crp2a.cnrs.fr/spip/spip.php?article144&lang=fr",TRUE,"Martin, L., Incerti, S., Mercier, N., 2015. DosiVox: Implementing Geant 4-based software for dosimetry simulations relevant to luminescence and ESR dating techniques. Ancient TL 33, 1–10."
"20","DosiVox2D","Dose rate modelling","A Geant 4-based software for dosimetry simulations relevant to luminescence and ESR dating techniques; simplified version in comparison to DosiVox","2018-12-03","devel",FALSE,FALSE,TRUE,"application","http://www.iramat-crp2a.cnrs.fr/spip/spip.php?article144&lang=fr",TRUE,""
"21","Viewer","Luminescence data visualisation","Proprietary software to visualise luminescence data recorded in BIN/BINX-files","4.4","ancient",TRUE,FALSE,FALSE,"application","https://www.nutech.dtu.dk/english/products-and-services/radiation-instruments/tl_osl_reader/software",TRUE," "
"22","Viewer+","Luminescence data visualisation","Proprietary software to visualise luminescence data recorded in BIN/BINX-files; sucessor of Viewer","1.43","stable",TRUE,FALSE,FALSE,"application","https://www.nutech.dtu.dk/english/products-and-services/radiation-instruments/tl_osl_reader/software",TRUE," "
"23","PTanalyse","Luminescence data analysis","Proprietary software to analyse TR-OSL data ","1.51","stable",TRUE,FALSE,FALSE,"application","https://www.nutech.dtu.dk/english/products-and-services/radiation-instruments/tl_osl_reader/software",TRUE," "
"24","RLanalyse","Luminescence data analysis","Proprietary software to analyse radiofluorescence data (BIN/BINX-file input required)","1.3","stable",TRUE,FALSE,FALSE,"application","https://www.nutech.dtu.dk/english/products-and-services/radiation-instruments/tl_osl_reader/software",TRUE," "
"25","XRFanalyse","Miscellaneous","Proprietary software to analyse XRF data recorded with a Risø OSL/TL attachement","1.12","stable",TRUE,FALSE,FALSE,"application","https://www.nutech.dtu.dk/english/products-and-services/radiation-instruments/tl_osl_reader/software",TRUE," "
"26","RadialPlotter","Visualisation","Java software to create radial plots","9.4","stable",TRUE,TRUE,TRUE,"application","https://www.ucl.ac.uk/~ucfbpve/radialplotter/",TRUE,"Vermeesch, P., 2009, RadialPlotter: a Java application for fission track, luminescence and other radial plots, Radiation Measurements, 44 (4), 409-410. doi: https://doi.org/10.1016/j.radmeas.2009.05.003"
"27","DensityPlotter","Visualisation","Java application for Kernel Density Estimation plots ","8.4","stable",TRUE,TRUE,TRUE,"application","https://www.ucl.ac.uk/~ucfbpve/densityplotter/",TRUE,"Vermeesch, P., 2012. On the visualisation of detrital age distributions. Chemical Geology, v.312-313, 190-194, doi: https://doi.org/10.1016/j.chemgeo.2012.04.021"
"28","MCDoseE","ESR data analysis","Dose response curve fitting, dose evaluation for ESR dating ","","stable",TRUE,TRUE,FALSE,"application","https://www.sciencedirect.com/science/article/pii/S1871101417300626?via%3Dihub",TRUE,"Joannes-Boyau, R., Duval, M., Bodin, T., 2017. MCDoseE 2.0 A new Markov Chain Monte Carlo program for ESR dose response curve fitting and dose evaluation. Quaternary Geochronology 44, 1–25. doi: https://doi.org/10.1016/j.quageo.2017.11.003"
"29","OCTOPUS","Data mining","Open cosmogenic nuclide and luminescence data database","","stable",TRUE,TRUE,TRUE,"repository","https://earth.uow.edu.au",TRUE,"Codilean, A.T., Munack, H., Cohen, T.J., Saktura, W.M., Gray, A., Mudd, S.M., 2018. OCTOPUS: an open cosmogenic isotope and luminescence database. Earth Syst. Sci. Data 10, 2123–2139. doi: https://doi.org/10.5194/essd-10-2123-2018"
"30","INQUA Dunes Atla","Data mining","Collection of luminescence ages from sand dunes world wide","","unknown",TRUE,TRUE,TRUE,"repository","http://www.dri.edu/inquadunesatlas",TRUE,"Lancaster, N., Wolfe, S., Thomas, D., Bristow, C., Bubenzer, O., Burrough, S., Duller, G., Halfen, A., Hesse, P., Roskin, J., Singhvi, A., Tsoar, H., Tripaldi, A., Yang, X., Zárate, M., 2015. The INQUA Dunes Atlas chronologic database. Quaternary International 410, 3–10. doi: https://doi.org/10.1016/j.quaint.2015.10.044"
